"","mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"mu[94]",-3.93619716526892,0.128867707911971,-4.19479494074489,-4.02473216704139,-3.93783583051513,-3.84712756672118,-3.68867418262555,1.00091697132886,3000
"mu[95]",-3.44515036728235,0.126775479633243,-3.69258684259884,-3.53076429451763,-3.44499492429964,-3.35752504637438,-3.19461705249228,1.00066691562965,3000
"mu[96]",-2.9671978260214,0.125516354257347,-3.21523780995517,-3.05309733020821,-2.96638520244587,-2.88182832396244,-2.7198640164818,1.00079971459381,3000
"mu[97]",-2.7097329131808,0.124898624519413,-2.9523262432599,-2.7957848112474,-2.70882076829639,-2.62462968972196,-2.46790828942334,1.00076794228048,3000
"mu[98]",-2.74509173400547,0.125122866823472,-2.99054303446776,-2.83123399743225,-2.74400083221985,-2.66141846837857,-2.50281458367783,1.00079408323227,3000
"mu[99]",-2.55809222169747,0.124660167837026,-2.80547711337363,-2.64099510934376,-2.55652714765865,-2.47584197990308,-2.31731215362953,1.00120038994537,2900
"mu[100]",-2.76134802487755,0.124700451037784,-3.00690715115689,-2.84555258461397,-2.76018666487313,-2.67883211850705,-2.52100761129588,1.00073836904833,3000
"mu[101]",-3.16930993549361,0.127013197765506,-3.42134105575294,-3.25533430564189,-3.17108181903908,-3.08402979694707,-2.91885703866896,1.00078178814832,3000
"mu[102]",-3.57065876877154,0.12999963137255,-3.82583113013431,-3.65879631845429,-3.57147170231066,-3.48240497533058,-3.30595742477898,1.00054152488096,3000
"mu[103]",-3.56572131510716,0.0581268536817399,-3.67830334334333,-3.60422393960984,-3.56665167955384,-3.52738188186879,-3.45051431903528,1.0023581606869,1100
"mu[104]",-3.17236594442493,0.0534222572762413,-3.27734768875973,-3.20829197585246,-3.1730948496013,-3.13750457413408,-3.07024005577179,1.00108066233193,3000
"mu[105]",-2.72911653606249,0.0481617344464825,-2.82581181272668,-2.76019619544281,-2.72900585488413,-2.69829371660142,-2.63481157181454,1.00065048765319,3000
"mu[106]",-2.37120396486181,0.046021306993859,-2.46185601594377,-2.40247086236182,-2.37086788020812,-2.34024265832269,-2.28314611137241,1.00145209552438,3000
"mu[107]",-2.18097105855407,0.0465875214002031,-2.27202839968761,-2.21299325588455,-2.18105458875013,-2.14877045660932,-2.09063024992906,1.00056935929882,3000
"mu[108]",-2.09250332620754,0.0462333984138891,-2.18322409343719,-2.12377785888361,-2.09220005611281,-2.0609892408275,-2.00345084890823,1.00104884392081,3000
"mu[109]",-2.25353516860744,0.0455615047361801,-2.34359604332651,-2.2837924246396,-2.2533022275245,-2.22345625255215,-2.16371974633523,1.00093001830773,3000
"mu[110]",-2.48569733095813,0.0482757214086424,-2.58230961121752,-2.51794867195872,-2.48555656111181,-2.4547496211897,-2.39118706944247,1.00050142729958,3000
