age_group,year,median,lower,upper,age_group_cat,STATEFIP,bpl,no_mig,prop_mig,pop,state_fip,state,origin_original,origin,df,se,se_log,se_logit
35,2014,0.03359451299846452,0.027116909205474583,0.0428151895195751,35-39,1,200,4580,0.03128650376735957,146389,01,Alabama,Mexico,Mexico,1.9,0.00860187581531553,0.27493886435114084,0.28381855462981304
35,2015,0.03380015362836417,0.027768235807319228,0.04321273442804711,35-39,1,200,5818,0.03922467554356986,148325,01,Alabama,Mexico,Mexico,1.9,0.009529160020304234,0.24293789274864652,0.2528560908723291
35,2016,0.03364018746917343,0.027331097031341386,0.044086213627814404,35-39,1,200,5980,0.039859226277761485,150028,01,Alabama,Mexico,Mexico,1.9,0.00954809929880168,0.239545525351274,0.24949000386955
35,2017,0.03285410538488095,0.025456578879361657,0.045230131969971055,35-39,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
35,2018,0.03289875306342248,0.025055704054531464,0.04578048176902885,35-39,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
40,2001,0.019230119003563154,0.01465368131735265,0.02411533225193553,40-44,1,200,1375,0.008716157537416088,157753,01,Alabama,Mexico,Mexico,2.9,0.009705013680510821,1.1134509259211807,1.1232412738162916
40,2002,0.018755038748896922,0.013524011117917154,0.0237973324232358,40-44,1,200,2030,0.012585400934915498,161298,01,Alabama,Mexico,Mexico,2.9,0.011510447933255527,0.9145873057823892,0.9262444637220772
40,2003,0.01849187872688517,0.012938623558581594,0.02389392986219016,40-44,1,200,1152,0.007122542351922839,161740,01,Alabama,Mexico,Mexico,2.9,0.008671216749775555,1.2174328099901894,1.2261662309002743
40,2004,0.018448033862760383,0.0123850722300532,0.02398478086400028,40-44,1,200,934,0.005790775678742149,161291,01,Alabama,Mexico,Mexico,2.9,0.007834758492637211,1.35297219704063,1.3608525891160366
40,2005,0.018823644597402777,0.012710688584658477,0.024002197287856634,40-44,1,200,1423,0.00872117965752669,163166,01,Alabama,Mexico,Mexico,2.2,0.005038612674168308,0.5777443960599762,0.5828273379838514
40,2006,0.01921621069285675,0.013402758938967096,0.024625672405865343,40-44,1,200,1961,0.011678040995223973,167922,01,Alabama,Mexico,Mexico,2.2,0.005738794840663743,0.491417596753665,0.49722420136097595
40,2007,0.01982722854115801,0.014000712539056022,0.025168352997954196,40-44,1,200,2103,0.013566691610972053,155012,01,Alabama,Mexico,Mexico,2.2,0.0064317396899568145,0.4740831349593846,0.4806033321539224
40,2008,0.019887275510954254,0.014397826517717042,0.025020507688240236,40-44,1,200,1581,0.010332522939377304,153012,01,Alabama,Mexico,Mexico,2.2,0.0056588133645654355,0.5476700509417372,0.5533879445734169
40,2009,0.020636230034263247,0.015751889196543106,0.02627317467152222,40-44,1,200,3085,0.019663333142117777,156891,01,Alabama,Mexico,Mexico,2,0.006975330169585589,0.35473793375573826,0.36185317324988314
40,2010,0.021881315953129712,0.01710410081828966,0.02836104800106502,40-44,1,200,3546,0.022677129098478598,156369,01,Alabama,Mexico,Mexico,2,0.0074917854376273536,0.33036745546992435,0.33803307515476466
40,2011,0.02345063229135192,0.018835120598737994,0.030755993534038784,40-44,1,200,5331,0.03379204989889642,157759,01,Alabama,Mexico,Mexico,2,0.009053011932884996,0.2679036033614714,0.2772732343316344
40,2012,0.023346622971429018,0.018564371116744544,0.0305958308233137,40-44,1,200,4400,0.027225701061802342,161612,01,Alabama,Mexico,Mexico,1.9,0.007652969378197784,0.2810935652612046,0.28896072353887614
40,2013,0.02387878185669267,0.01885924868503363,0.031061501912688406,40-44,1,200,3936,0.026372742805454118,149245,01,Alabama,Mexico,Mexico,1.9,0.007841430808143762,0.2973308793093028,0.30538471176951804
40,2014,0.024503743451632067,0.01917768943286026,0.0320363729587948,40-44,1,200,3020,0.019438347611722223,155363,01,Alabama,Mexico,Mexico,1.9,0.0066216241098673405,0.340647479000437,0.3474003681163223
40,2015,0.025638616710651534,0.020456224513220076,0.03365761992573942,40-44,1,200,4418,0.02932878376494487,150637,01,Alabama,Mexico,Mexico,1.9,0.008218422646192105,0.2802169606506202,0.2886837025388457
40,2016,0.02656509686037246,0.02106837469799504,0.03539663857923849,40-44,1,200,5096,0.035434905050308385,143813,01,Alabama,Mexico,Mexico,1.9,0.00921623484837024,0.26008916449149716,0.26964397307479027
40,2017,0.025731563412053484,0.019483732615287935,0.035748025511315784,40-44,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
40,2018,0.025763382913589778,0.018903650434281303,0.03720060351753103,40-44,NA,NA,NA,NA,NA,NA,Alabama,NA,NA,NA,NA,NA,NA
45,2001,0.012192779779221714,0.009159502181576741,0.015575324644692457,45-49,1,200,451,0.003045034096279792,148110,01,Alabama,Mexico,Mexico,2.9,0.005936973024044017,1.9497230035280693,1.9556781100545335
45,2002,0.011884416054115216,0.008473623223054658,0.015737390814653366,45-49,1,200,436,0.0028252248516108967,154324,01,Alabama,Mexico,Mexico,2.9,0.005602976890949557,1.9831968021075674,1.9888156535171566
45,2003,0.011708029028316379,0.008349953509240822,0.015764333855591367,45-49,1,200,538,0.0033219309186559146,161954,01,Alabama,Mexico,Mexico,2.9,0.005929257699260587,1.7848829022789017,1.790831922211412
45,2004,0.011812758285200932,0.008192598633034108,0.015675906003907347,45-49,1,200,61,3.771438463726181e-4,161742,01,Alabama,Mexico,Mexico,2.9,0.0020020900783587867,5.308558253342736,5.310561098781927
45,2005,0.012294429085485517,0.008690071566384497,0.016564923611973963,45-49,1,200,458,0.002746494920783411,166758,01,Alabama,Mexico,Mexico,2.2,0.0028053633892058238,1.0214340350593554,1.024247124584654
